nutrition/0/0,nutrition/0/1,nutrition/1/0,nutrition/1/1,nutrition/2/0,nutrition/2/1,nutrition/3/0,nutrition/3/1,nutrition/4/0,nutrition/4/1,nutrition/5/0,nutrition/5/1,nutrition/6/0,nutrition/6/1,nutrition/7/0,nutrition/7/1,nutrition/8/0,nutrition/8/1,nutrition/9/0,nutrition/9/1,nutrition/10/0,nutrition/10/1,nutrition/11/0,nutrition/11/1,nutrition/12/0,nutrition/12/1,nutrition/13/0,nutrition/13/1,nutrition/14/0,nutrition/14/1,nutrition/15/0,nutrition/15/1,nutrition/16/0,nutrition/16/1,nutrition/17/0,nutrition/17/1,caloriesFromFat,calories,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,directions/0,directions/1,ingredients/0,ingredients/1,ingredients/2,ingredients/3,ingredients/4,ingredients/5,ingredients/6,ingredients/7,ingredients/8,ingredients/9,ingredients/10,servingsNumber,totalTime,cookTime,prepTime,photoUrl,shortDescription,title,directions/2,ingredients/11,ingredients/12,directions/3,ingredients/13,ingredients/14,ingredients/15,ingredients/16,directions/4,directions/5,directions/6,directions/7,ingredients/17,ingredients/18,ingredients/19,ingredients/20,directions/8,tags/7,directions/9,directions/10,directions/11,directions/12,ingredients/21,ingredients/22,ingredients/23,ingredients/24,ingredients/25,ingredients/26,ingredients/27,ingredients/28,ingredients/29,ingredients/30,ingredients/31,ingredients/32,ingredients/33,ingredients/34,ingredients/35,ingredients/36,ingredients/37
Fat,82g,Sodium,3783mg,Dietary Fiber,12g,Protein,50g,Sugars,30g,Cholesterol,151mg,Total Carbs,111g,,,,,,,,,,,,,,,,,,,,,,,,1379,,,,,,,,"Using knife, cut 3-4, 2-inch long slits into each bratwurst. Insert slice of pepper in each slit.","Individually wrap bacon around each bratwurst. Slide skewer through brat to hold bacon in place. (Note: If using wooden skewers, soak in water for at least 30 minutes before use to prevent burning.)","6	each (3-4 ounces)	bratwursts","2	each			jalapeÃ±o peppers, seeds removed and thinly sliced","6	slices			bacon","6	each			bratwurst buns","1	can (28 ounces)		BUSHâ€™S<sup>Â®</sup> Homestyle Baked Beans",,,,,,,6, 40   Minutes, 30   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/aaf879c1-e245-4182-9249-110a91dfd8f5.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by Rachel Matthews, author of cooking blog, â€œA Southern Fairytaleâ€ù (www.ASouthernFairytale.com). ","JalapeÃ±o Stuffed, Bacon Wrapped Brats","Set clean, well-oiled grill to medium heat and prepare for direct and indirect cooking.* ",,,"When grill is hot, using tongs, place bratwursts on cool side of grill and cook over indirect heat for 20 minutes. ",,,,,"Using tongs, move bratwursts to direct side of grill (hot side) and continue cooking for 10 minutes, rotating brats every 2 Â_ minutes until internal temperature is at least 160 degrees F and bacon is crispy.",Remove bratwursts from grill using tongs and place on platter. Remove skewers from bratwursts and place in buns. ,Serve with BUSHâ€™S Homestyle Baked Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,21g,Sodium,1004mg,Dietary Fiber,10g,Protein,16g,Sugars,7g,Cholesterol,22mg,Total Carbs,42g,,,,,,,,,,,,,,,,,,,,,,,,400,mexican,grill,black beans,,,,,"In a small bowl, mix orange juice, lime juice and Achiote paste until smooth.  Set aside.","In a medium sautÃ© pan, heat olive oil over medium high heat.  Add onions and mushrooms.  Cook until golden brown stirring occasionally (about 15 minutes). ","Â_  	cup 			fresh orange juice","Â_  	cup 			fresh lime juice","1 Â_  	tablespoons	 Achiote paste or 2 tablespoons chile powder","2 	tablespoons		olive oil","2 	cups 			white onion, thinly sliced ","Â_  	lb 			button mushrooms, cleaned, hard part of stem removed; cut in half or fourths (pending mushroom size)","1 	tablespoon		cumin seed","1 	tablespoon		oregano","Â_  	tablespoon		kosher salt","Â_ 	cup			water ","1 	can (15 oz) 		BUSHâ€™S<sup>Â®</sup> Black Beans, drained and rinsed ",4, 50   Minutes, 30   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/9526d50d-b8b0-4190-8a07-ccb8717788fd.jpg,"Created for BUSHâ€™S<sup>Â®</sup> Beans by Jeffrey Saad, Chef, Culinary Entrepreneur and Host of â€œUnited Tastes of Americaâ€ù for the Cooking Channel.",Black Bean and Grilled Zucchini Tostada with Annatto Sauce and Goat Cheese,"To the sautÃ© pan, add cumin seed and oregano.  Cook for 15 seconds to bring out the flavor of the cumin and oregano.","2 	each			medium green zucchini, cut in half the long way ","Â_	teaspoon		olive oil","Add Achiote mixture, salt and water, stir well.  Add beans.  Turn heat to low and cook about 8 minutes until you have a sauce-like consistency.","Â_	teaspoon		kosher salt ","6 	each 			corn tostadas","4 	oz 			creamy goat cheese","Â_  	cup 			fresh cilantro, washed and roughly chopped ",Turn heat off and set sautÃ© pan aside.,"Rub cut zucchini with olive oil and salt. Grill over high heat until marked on both sides but still firm. Cut into Â_"" pieces.","Lay the tostadas on a large platter or one per plate.  Using a large spoon, divide the Achiote bean mixture evenly onto the tostadas.","Top with the grilled zucchini.  Using two forks, drop the goat cheese on top in small pieces.",,,,,Garnish with cilantro and serve.,,,,,,,,,,,,,,,,,,,,,,
Fat,7g,Sodium,1205mg,Dietary Fiber,7g,Protein,11g,Sugars,2g,Cholesterol,12mg,Total Carbs,21g,,,,,,,,,,,,,,,,,,,,,,,,192,dominican,sausage,,,,,,"In a medium size pot over medium high heat add the oil and sautÃ© the chorizo for 2 minutes.  Then add the sofrito and stir for 2 more minutes.  Immediately, add the culantro achiote seasoning and the tomato puree and stir for one minute.",Then add the water or chicken stock and pumpkin and boil for 5 minutes.,"1 can 			BUSHâ€™S<sup>Â®</sup> Kidney Beans or White Beans, drained and rinsed","1 tsp 			olive oil ","1 tbsp			sofrito (read notes below on how to make your own Sofrito)  ","Â_ bag			Sazon with Coriander and Annatto (Culantro & Achiote)","1 cup			water or natural chicken stock ","1 tsp			tomato puree or 2 pear crushed tomatoes ","2 oz			Spanish chorizo (sliced/diced)","6 oz 			fresh pumpkin (cut in small cubes) ","2 leaves		fresh culantro or coriander (minced) ","1 tbsp			fresh cilantro (minced)	",,4, 25   Minutes, 20   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/c17865a8-2759-47f1-b108-8dd55f0e8f52.jpg,"This bean stew is a popular recipe from the Dominican Republic. Similar versions of this recipe can also be found in the kitchens of Colombia, Venezuela and throughout Latin America.  Serve this dish with arroz blanco (white rice) or arroz amarillo (yellow rice).  ",Frijoles Guisados (Bean Stew) with Chorizo and Pumpkin,"Then add the beans, cilantro and culantro, stir and simmer in low until pumpkin is completely cooked (about 10 minutes).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,24g,Sodium,2531mg,Dietary Fiber,24g,Protein,40g,Cholesterol,84mg,Total Carbs,114g,,,,,,,,,,,,,,,,,,,,,,,,,,827,,,,,,,,"For Marinade: In blender or food processor, combine orange juice, orange zest, 1 chipotle pepper, 2 teaspoons chipotle adobo sauce from can, honey and garlic. Puree until smooth. Reserve 1-2 tablespoons to brush on salmon while grilling and pour remaining marinade into large resealable plastic bag.","For Salmon: Add salmon, salt and pepper to bag. Place in refrigerator for 2 hours (or desired marinating time). ",For Marinade:,"3	each			fresh oranges, 2 juiced and 1 zested","1 	can (7 ounces)		chipotle peppers in adobo sauce","2 	tablespoons 		honey","3 	cloves 			garlic, chopped","1	each			large plastic resealable bag",For Salmon:,"2	each (4 ounces)		salmon filet","Â_	teaspoon		sea salt","Â_	teaspoon		ground black pepper","1 	each			onion",2, 2   hours 25   Minutes, 5   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/47ca0e9a-b642-4869-9c1d-0a5d2c9ae34d.jpg,"Spicy and citrus-y, this grilled salmon with grilled onion slices is served with BUSHâ€™S<sup>Â®</sup> Texas Ranchero Grillin' Beans.",Orange-Chipotle Salmon with Grilled Onions & Cilantro,"Set grill to medium-high heat. Cut 2, Â_-inch thick slices of onion. Remove salmon from bag and brush both sides of salmon and onion slices with olive oil. Add extra sprinkle of salt and pepper. ","2 	tablespoons		extra virgin olive oil","2 	tablespoons		fresh cilantro","Place salmon and onion on the grill and cook 5-6 minutes per side, depending on thickness of salmon. While cooking, brush salmon with reserved marinade.","1	can (21 ounces)		BUSHâ€™S<sup>Â®</sup> Texas Ranchero<sup>Â®</sup> Grillinâ€™ Beans<sup>Â®</sup>",,,,Remove salmon and onion from grill. Place onion on filet and garnish with cilantro. ,Serve with BUSHâ€™S Texas Ranchero Grillinâ€™ Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,23g,Sodium,1905mg,Dietary Fiber,5g,Protein,18g,Cholesterol,57mg,Total Carbs,43g,,,,,,,,,,,,,,,,,,,,,,,,,,459,,,,,,,,Season the meat with salt and pepper.,"In a saucepan on medium high, add the bacon and cook for about 5 minutes.",1 can  BUSHâ€™S<sup>Â®</sup> Cocina Latina<sup>Â®</sup> Pintos a La Diabla,2 lbs  finely cut skirt steak,"12 oz regular bacon, finely cut (almost same size of steak)",4  minced garlic cloves,1 red onion finely chopped ,3  bell peppers (different colors) finely chopped ,3  pear or plum tomatoes finely chopped,20  small flour tortillas ,Queso fresco to taste,Salt and pepper to taste,,4, 30   Minutes, 15   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/b9933c9d-e1c5-418f-a776-63523e208f03.jpg,"Traditional â€œParrilladaâ€ù of Tamaulipas (North Mexico).  This dish always includes bacon in the recipe and is usually prepared with chicken, beef or pork.  Accompany this dish with BUSHâ€™S<sup>Â®</sup> Cocina Latina<sup>Â®</sup> Pintos a la Diabla and with corn or flour tortillas.",BUSHâ€™S<sup>Â®</sup> COCINA LATINA<sup>Â®</sup> DISCADA WITH PINTOS A LA DIABLA,Remove the bacon and set aside.  ,,,"Increase temperature and using the bacon fat remaining on the pan, add the garlic and sautÃ© for 1 minute, then add the meat and sear for about 3 minutes (until it has some color).",,,,,"Then lower the heat again to medium high, add all the veggies and cook for 5 more minutes.",Served on a family plate and add queso fresco on top.,Served with tortillas and BUSHâ€™S<sup>Â®</sup> Cocina Latina<sup>Â®</sup> Pintos a La Diabla on the side.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,40g,Sodium,1872mg,Dietary Fiber,8g,Protein,57g,Sugars,3g,Cholesterol,179mg,Total Carbs,57g,,,,,,,,,,,,,,,,,,,,,,,,824,*,,,,,,,"For Burgers: In large bowl, mix ground meat, garlic, onions and meat seasoning. ","Using hands, divide mixture into 13 portions and form into burgers. Place on tray lined with wax paper and refrigerate for 3 hours. (Tip: Patties cook better and donâ€™t fall apart on grill when cold.) ",For Burgers:,"7	pounds			ground chuck or ground meat of choice","2	cloves			garlic, chopped ","2	each			medium yellow onions, chopped","Â_ 	cup			meat seasoning (brand of choice or use â€œA Southern Fairytaleâ€™sâ€ù recipe*)","13	each			sandwich buns","1	12-inch sheet		wax paper or freezer paper",For Caramelized Onions:,"1	can (7 ounces)		chipotle peppers in adobo sauce ","1	stick			butter","6	each			medium yellow onions, sliced",13, 2   hours 10   Minutes, 55   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/204fd2f4-c825-4020-897b-6b24076a5013.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by Rachel Matthews, author of cooking blog, â€œA Southern Fairytaleâ€ù (www.ASouthernFairytale.com).",Garlic Burgers with Chipotle Caramelized Onions,"For Caramelized Onions: About 30 minutes before removing burgers from refrigerator, remove 2 chipotle peppers from can. Chop peppers and set aside. ","2	cans (28 ounces)	BUSHâ€™S<sup>Â®</sup> Onion Baked Beans","Optional Toppings:	Cheese of choice, tomato slices, lettuce, mustard, ketchup ","In large skillet, heat butter over medium high heat until melted. Add onions, chopped chipotle peppers and 1 tablespoon adobo sauce from can. Allow ingredients to simmer and caramelize, stirring occasionally (about 45 minutes).",,,,,"Set clean, well-oiled grill to medium heat. When grill is hot, using spatula, place burgers on grill and cook   4-5 minutes. ",Carefully slide spatula under each burger and flip. Grill 4-5 minutes or until internal temperature is at least 145 degrees F.,"Using spatula, remove burgers from grill and place in buns. Add caramelized onions and optional toppings, as desired.",Serve with BUSHâ€™S Onion Baked Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,16g,Saturated Fat,5g,Sodium,1085mg,Carbohydrates,58g,Dietary Fiber,10g,Protein,13g,Sugars,39g,Vitamin C,13mg,Calcium,27mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,3mg,Vitamin B6,0mg,Magnesium,19mg,Folate,5mcg,Vitamin A - IU,25IU,Cholesterol,37mg,Potassium,465mg,146,419,BUSHâ€™SÂ® beans,quick & easy,,,,,,"Slice off tops of 8 apples and scoop out inside with melon-baller.  Reserve apple tops and discard apple insides.  Peel and dice remaining apple, set aside.","Mix together BUSHâ€™S<sup>Â®</sup> Country Style Baked Beans, diced apple, sausage and onions.  Season with salt and pepper.",9 large Granny Smith apples,1 (28 ounce) can BUSHâ€™S<sup>Â®</sup> Country Style Baked Beans,"1 pound smoked kielbasa sausage, diced","1 cup onions, diced",Salt to taste,Pepper to taste,,,,,,8 servings, 40   Minutes, 30   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71662.jpg,"In this brilliant combination of ingredients, apples are stuffed with a spicy, sweet mixture of baked beans and sausage, and heated on the grill.",Granny's Country Style Apples,"Stuff apples with baked bean mixture.  Wrap with aluminum foil and place on side of grill.  Grill for 30 minutes until heated through.  Allow to cool for 4 minutes, remove foil, place tops on apples and serve.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,20g,Sodium,723mg,Dietary Fiber,14g,Protein,16g,Cholesterol,10mg,Total Carbs,74g,,,,,,,,,,,,,,,,,,,,,,,,,,513,,,,,,,,Heat large sautÃ© pan over medium heat. Add bacon and cook 5 minutes or until crispy. ,"Using tongs, remove bacon from pan and place on cutting board. Once cooled, cut bacon into 1/4 wide pieces. Set aside.",2 slices bacon,1 1/2 cups frozen corn,"1 clove garlic, chopped","1 can (15 ounces)  BUSH'S<sup>Â®</sup> Black Beans, drained and rinsed","2 each green onions, rinsed and chopped",1/2  teaspoon  chipotle in adobo sauce (optional),"1 each avocado, diced","2 each limes, juiced ",4-6 10-inch flour tortillas,"Optional Toppings:  Salsa, fresh cilantro",,4, 25   Minutes, 15   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/063f9ace-bf1a-4d88-800b-5b1791c065f5.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Beans by Connie Guttersen, PhD, RD, nutrition instructor at the Culinary Institute of America and author of â€œThe New Sonoma Dietâ€ù and â€œThe Sonoma Cookbookâ€ùSterling 2011.",Black Bean Avocado Burrito,Add corn to bacon fat and cook over high heat. Add garlic and cook 5 minutes or until aromatic.,,,"Turn off heat. Add beans, bacon and green onions to pan. (Note: Can add chipotle in adobo sauce to pan, if desired.) Toss to warm. ",,,,,Stir in avocados and lime juice. ,"Serve in flour tortillas. Add optional toppings, as desired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,14g,Saturated Fat,7g,Sodium,1300mg,Carbohydrates,35g,Dietary Fiber,4g,Protein,16g,Sugars,2g,Vitamin C,14mg,Calcium,285mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,4mg,Vitamin B6,0mg,Magnesium,23mg,Folate,51mcg,Vitamin A - IU,441IU,Cholesterol,37mg,Potassium,164mg,124,330,grilling,BUSHâ€™SÂ® beans,,,,,,"Combine ground beef, garlic salt, and pepper; shape into twelve 3  inch patties. Combine green chilies, cheese, and onion. Place one-sixth of mixture in center of 6 patties. Top with remaining patties; press edges to seal.","Grill patties over medium hot coals for 10 to 15 minutes or until well done, turning once. Place patties on bottom half of buns. Spoon BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter evenly over patties. Top with remaining bun halves.",1 1/2 ounces lean ground beef,1/2 teaspoon garlic salt,1/4 teaspoon ground black pepper,"1 (4 ounce) can chopped green chilies, drained",3/4 cup shredded sharp Cheddar cheese,"1/2 cup onion, chopped","1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter, heated","6 hamburger buns, split and toasted",,,,6 servings, 25   Minutes, 10   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/default.gif,Bite into these spicy chili-topped burgers and find a surprise - a zesty filling of green chile peppers and melted cheese.,Chili-Topped Burgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,14g,Saturated Fat,7g,Sodium,1300mg,Carbohydrates,35g,Dietary Fiber,4g,Protein,16g,Sugars,2g,Vitamin C,14mg,Calcium,285mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,4mg,Vitamin B6,0mg,Magnesium,23mg,Folate,51mcg,Vitamin A - IU,441IU,Cholesterol,37mg,Potassium,164mg,124,330,grilling,BUSHâ€™SÂ® beans,,,,,,"Combine ground beef, garlic salt, and pepper; shape into twelve 3  inch patties. Combine green chilies, cheese, and onion. Place one-sixth of mixture in center of 6 patties. Top with remaining patties; press edges to seal.","Grill patties over medium hot coals for 10 to 15 minutes or until well done, turning once. Place patties on bottom half of buns. Spoon BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter evenly over patties. Top with remaining bun halves.",1 1/2 ounces lean ground beef,1/2 teaspoon garlic salt,1/4 teaspoon ground black pepper,"1 (4 ounce) can chopped green chilies, drained",3/4 cup shredded sharp Cheddar cheese,"1/2 cup onion, chopped","1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter, heated","6 hamburger buns, split and toasted",,,,6 servings, 25   Minutes, 10   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/default.gif,Bite into these spicy chili-topped burgers and find a surprise - a zesty filling of green chile peppers and melted cheese.,Chili-Topped Burgers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,6g,Sodium,915mg,Dietary Fiber,10g,Protein,32g,Cholesterol,59mg,Total Carbs,68g,,,,,,,,,,,,,,,,,,,,,,,,,,458,,,,,,,,"In a blender, mix the orange juice, lime juice, achiote, garlic, oregano and 1 tbsp. of vinegar.","Cover the chicken with the marinade, season with salt to taste, cover with plantain leaf and let sit in the refrigerator for at least 30 minutes (better if more).",1 can BUSHâ€™S<sup>Â®</sup> Cocina Latina<sup>Â®</sup> Frijoles a La Mexicana,2 cups cooked white rice ,1  yellow plantain fried in small slices,"4  fresh boneless, skinless chicken breasts",4 oranges juiced ,1 Lime ,1 oz achiote paste (2 tbsp achiote powder),4  garlic cloves,3 tbsp white vinegar,2 tbsp dry Mexican oregano,1/2 red onion,4, 55   Minutes, 20   Minutes, 35   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/ceb79437-3769-41b6-85c7-9843b1893a5c.jpg,"This is an easy-to make version of the popular â€œpuerco pibilâ€ù (pork) recipe from the Yucatan Peninsula in Mexico.  Accompany this recipe with a side of BUSHâ€™S<sup>Â®</sup> Cocina Latina<sup>Â®</sup> Frijoles a la Mexicana, plantains and white rice. ",BUSHâ€™S<sup>Â®</sup> COCINA LATINA<sup>Â®</sup> POLLO PIBIL WITH FRIJOLES A LA MEXICANA,"Using a medium or big saucepan, add a piece of plantain leaf to the bottom of the pan enough to cover it all.  Add the chicken and all the marinade, and then add another leaf on top, cover and cook for 20 minutes or until chicken is completely cooked.","Salt, to taste",Plantain leaves for garnish,"While the chicken is cooking, sliced the onion and let it sit in a plate with 2 tbsp. of vinegar.",,,,,"Remove the chicken, shredded and serve with onions on top and white rice, BUSHâ€™S<sup>Â®</sup> Cocina Latina<sup>Â®</sup> Frijoles a La Mexicana and yellow plantains.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,4g,Sodium,564mg,Dietary Fiber,6g,Protein,9g,Sugars,3g,Cholesterol,10mg,Total Carbs,22g,,,,,,,,,,,,,,,,,,,,,,,,169,Family Inspired,BUSH'S,special,pinto beans,,,,"Directions for the grill: Turn up edges of aluminum foil to form a tray, set aside. Heat grill to medium.","Cook bacon strips, jalapeno and onion directly on grill until cooked thoroughly but not charred.",4 slices bacon ,"1 jalapeno, halved and seeded","1 medium onion, peeled and halved","1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Pinto Beans, drained",2 teaspoons chipotle chile powder,"2 cloves garlic, chopped",1 teaspoon honey,12-inch x 12-inch piece of heavy duty aluminum foil (for grill version),,,,4, 40   Minutes, 20   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/acbe5c1b-bab3-47e6-9b2d-eafc212236dd.jpg,"Grilled bacon, jalapeno, and onions are tossed with beans, chipotle chile powder, garlic and honey for a sweet, hot dish.",Chipotle Grilled Pinto Beans with Honey,"Remove to cutting board, chop evenly and place on aluminum foil tray. Toss with beans, chile powder, garlic and honey. ",,,Keep warm in foil tray until serving.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
